t,c0
0.1000,0
1.4000,0
3.1000,0
5.0000,0
9.2000,0
13.7000,0
16.6000,0
18.9000,0
22.2000,0
27.0000,0
29.8000,0
33.1000,0
37.2000,0
41.5000,0
45.5000,0
51.1000,0
55.0000,0
58.3000,0
60.5000,0
62.1000,0
63.5000,0
64.6000,0
65.8000,0
67.2000,0
68.7000,0
70.4000,0
73.9000,0
77.4000,0
82.4000,0
87.2000,0
91.1000,0
94.5000,0
96.6000,0
98.6000,0
101.0000,0
103.6000,0
106.5000,0
109.7000,0
112.7000,0
116.7000,0
121.4000,0
126.1000,0
131.3000,0
137.1000,0
142.2000,0
147.9000,0
153.8000,0
158.9000,0
164.6000,0
170.5000,0
175.8000,0
181.2000,0
187.1000,0
191.8000,0
196.1000,0
201.6000,0
207.2000,0
211.8000,0
216.5000,0
221.4000,0
224.1000,0
225.3000,0
226.8000,0
232.9000,0
237.4000,0
242.8000,0
248.1000,0
254.2000,0
260.0000,0
266.5000,0
273.6000,0
279.4000,0
287.5000,0
296.8000,0
302.4000,0
307.0000,0
311.2000,0
315.7000,0
322.4000,0
329.7000,0
337.3000,0
346.1000,0
351.6000,0
357.2000,0
362.8000,0
365.8000,0
368.4000,0
370.8000,0
374.2000,0
377.6000,0
382.8000,0
390.2000,0
395.5000,0
401.1000,0
404.4000,0
408.1000,0
411.7000,0
419.1000,1
423.3000,1
431.4000,1
436.0000,1
441.0000,1
447.8000,1
450.8000,1
454.8000,1
458.5000,1
462.6000,1
468.1000,1
474.8000,1
480.6000,1
487.5000,1
496.9000,1
505.7000,1
510.6000,1
517.5000,1
524.5000,1
531.5000,1
538.5000,1
545.0000,1
550.9000,1
556.4000,1
561.7000,1
567.7000,1
574.0000,1
581.2000,1
587.2000,1
594.4000,1
601.0000,1
608.0000,1
616.0000,1
622.1000,1
627.5000,1
633.0000,1
638.5000,1
643.8000,1
649.9000,1
657.3000,1
664.1000,1
672.0000,1
679.5000,1
686.4000,1
693.0000,1
700.0000,1
710.7000,1
717.9000,1
723.6000,1
731.7000,1
738.7000,1
744.1000,1
749.5000,1
755.8000,1
766.4000,1
773.9000,1
781.5000,1
786.9000,1
793.7000,1
802.1000,1
807.9000,1
814.1000,1
821.2000,1
829.2000,1
837.7000,1
844.5000,1
850.9000,1
857.1000,1
864.9000,1
872.8000,1
879.2000,1
886.6000,1
893.9000,1
900.6000,1
909.1000,1
916.8000,1
922.3000,1
927.4000,1
935.2000,1
942.6000,1
949.1000,1
954.6000,1
960.1000,1
967.0000,1
974.4000,1
979.9000,1
985.5000,1
991.3000,1
993.7000,1
995.8000,1
998.7000,1
1002.0000,1
1005.3000,1
1011.7000,1
1015.7000,1
1023.8000,1
1028.9000,1
1033.3000,0
1036.4000,0
1039.6000,0
1042.9000,0
1046.4000,0
1051.4000,0
1054.7000,0
1061.1000,0
1067.9000,0
1071.9000,0
1077.8000,0
1085.4000,0
1090.7000,0
1096.5000,0
1103.2000,0
1110.3000,0
1116.6000,0
1124.4000,0
1131.1000,0
1136.5000,0
1143.2000,0
1150.7000,0
1158.3000,0
1166.8000,0
1176.1000,0
1182.2000,0
1186.4000,0
1193.5000,0
1202.1000,0
1207.0000,0
1212.8000,0
1218.4000,0
1222.6000,0
1228.8000,0
1236.7000,0
1241.0000,0
1242.9000,0
1244.1000,0
1245.2000,0
1247.1000,0
1249.3000,0
1250.7000,0
1253.4000,0
1256.2000,0
1257.6000,0
1259.9000,0
1262.2000,0
1264.6000,0
1267.7000,0
1271.2000,0
1274.7000,0
1278.6000,0
1283.6000,0
1288.5000,0
1293.4000,0
1297.7000,0
1302.0000,0
1306.3000,0
1310.7000,0
1314.9000,0
1319.2000,0
1323.4000,0
1327.6000,0
1332.5000,0
1337.4000,0
1342.5000,0
1348.0000,0
1354.7000,0
1359.4000,0
1363.8000,0
1369.3000,0
1373.5000,0
1378.4000,0
1385.4000,0
1391.0000,0
1396.2000,0
1400.7000,0
1406.1000,0
1412.1000,0
1416.8000,0
1421.0000,0
1426.2000,0
1431.4000,0
1435.8000,0
1441.0000,0
1445.1000,0
1447.9000,0
1450.7000,0
1455.5000,0
